,Adj Close,Close,High,Low,Open,Volume
2018-04-10,2025,2025,2040,2025,2025,5848
2018-04-11,2025,2025,2030,2025,2030,8250
2018-04-12,2020,2020,2025,2020,2020,49791
2018-04-13,2020,2020,2045,2020,2025,17560
2018-04-16,2020,2020,2020,2015,2020,27913
2018-04-17,2015,2015,2020,2015,2020,36212
2018-04-18,2020,2020,2045,2015,2045,7684
2018-04-19,2020,2020,2025,2020,2020,7210
2018-04-20,2020,2020,2020,2015,2020,17899
2018-04-23,2015,2015,2025,2015,2015,45117
2018-04-24,2020,2020,2020,2015,2015,7033
2018-04-25,2020,2020,2020,2015,2015,12384
2018-04-26,2025,2025,2025,2015,2020,18249
2018-04-27,2020,2020,2025,2020,2025,11618
2018-04-30,2015,2015,2025,2015,2020,10107
2018-05-02,2020,2020,2020,2015,2015,16721
2018-05-03,2035,2035,2040,2020,2020,29897
2018-05-04,2030,2030,2035,2020,2025,7349
2018-05-08,2020,2020,2020,2020,2020,6020
2018-05-09,2025,2025,2025,2020,2025,26035
2018-05-10,2030,2030,2030,2020,2025,1146
2018-05-11,2035,2035,2035,2020,2020,8826
2018-05-14,2035,2035,2035,2020,2020,202
2018-05-15,2035,2035,2035,2025,2035,63054
2018-05-16,2035,2035,2035,2025,2035,17558
2018-05-17,2040,2040,2040,2030,2035,20300
2018-05-18,2030,2030,2040,2030,2040,11537
2018-05-21,2035,2035,2035,2030,2030,4822
2018-05-23,2035,2035,2040,2035,2035,12548
2018-05-24,2030,2030,2050,2030,2035,9405
2018-05-25,2050,2050,2110,2030,2035,102892
2018-05-28,2045,2045,2060,2035,2035,4788
2018-05-29,2050,2050,2050,2040,2045,900
2018-05-30,2055,2055,2070,2040,2050,23628
2018-05-31,2050,2050,2055,2045,2045,6669
2018-06-01,2050,2050,2055,2050,2055,16206
2018-06-04,2055,2055,2060,2050,2050,35201
2018-06-05,2045,2045,2055,2045,2055,27759
2018-06-07,2040,2040,2045,2040,2045,99346
2018-06-08,2045,2045,2045,2040,2040,5690
2018-06-11,2055,2055,2055,2040,2040,43398
2018-06-12,2055,2055,2055,2050,2050,11258
2018-06-14,2050,2050,2050,2050,2050,49995
2018-06-15,2050,2050,2055,2050,2050,18715
2018-06-18,2045,2045,2050,2045,2050,14225
2018-06-19,2045,2045,2045,2045,2045,40750
2018-06-20,2045,2045,2050,2045,2045,11947
2018-06-21,2050,2050,2050,2045,2050,16734
2018-06-22,2050,2050,2050,2050,2050,708
2018-06-25,2050,2050,2050,2050,2050,31231
2018-06-26,2050,2050,2050,2050,2050,3565
2018-06-27,2055,2055,2055,2050,2050,2481
2018-06-28,2055,2055,2055,2050,2050,10800
2018-06-29,2050,2050,2050,2050,2050,26247
2018-07-02,2055,2055,2055,2050,2050,16800
2018-07-03,2060,2060,2060,2055,2055,17310
2018-07-04,2055,2055,2055,2050,2050,14613
2018-07-05,2055,2055,2055,2050,2055,13086
2018-07-06,2055,2055,2055,2050,2055,116068
2018-07-09,2050,2050,2050,2050,2050,108585
2018-07-10,2050,2050,2050,2050,2050,61434
2018-07-11,2055,2055,2055,2050,2055,24058
2018-07-12,2045,2045,2055,2045,2055,107164
2018-07-13,2055,2055,2055,2045,2050,30808
2018-07-17,2050,2050,2050,2045,2050,237676
2018-07-18,2050,2050,2050,2045,2050,152311
2018-07-19,2055,2055,2055,2050,2050,227800
2018-07-20,2055,2055,2055,2055,2055,40235
2018-07-23,2055,2055,2060,2055,2055,56874
2018-07-24,2055,2055,2060,2055,2055,98386
2018-07-25,2060,2060,2060,2055,2055,100460
